,ID_text
391,bagaimana banyak benci janji juta subscribe botak malah ingkar janji kontol
392,aku keren
393,aku channelkamukeren
394,benci siapa tau auto kaya jugal kontol itu kontol lgi nah situ elu anjing
395,bagi orang uang juta juta juta bahkan miliar rupiah bukan lah yg sungguh kaget juta orang sana mungkin pernah bayang dapat uang besar juta rupiah belanja mr money akan jalan arah mata angin jalan cari siapa yg untung dapat uang besar juta rupiah saya uang kaget
396,bagus
397,bagus bang aku tujuh kamu bego kaya gitu aku suka konten yg bego bego biar aku kaya kamu lanjut boss qitu
398,bagus bang gemar
399,bagus deh udah ada ria kontol lg jd kaget dong
400,bagus iklan drpd video
401,bagus ka cuma sorry jangan sampe hina qorygore soal youtuber paling keren
402,bagus video erick
403,bagus si jembut apresiasikamubang ni buatkamupada yg ngehina erik erick ngumpulin subscribe goblok ngumpulin lama tahun tau truskamubilang beli cobakamukumpulin subskamusemua wkwkwkwk erick kontol
404,bagus rick kalau kamu buat content macem begini
405,bagus rick tetap jalan setan
406,bagus erick tuju
407,bagus iklan drpd video
408,baik
409,baik erickolimsalam balriber kamu fans kamu bang
410,baik
411,baju kamu kontol alumnin dwp kau rupa
412,bakal ancur kentot yt rewindkamuyang urus bangsat isi rewind game kontol
413,bakssssooooooo bakssssoo anjingg notif langsung
414,balas koment aku anjing
415,banedkamukontol
416,bang aku bela kamu arap cuman ngunkit masalah kamu yg dulu padahal kamu cuman minta arap buat muncul bareng jess no limit scene pertama pokok benci kamu kontol usah peduliin benci kamu yg kontol
417,bang aku kangen ama toxic kamu aku suka video waktu kamu surup lift wkwkwkwkk
418,bang aku mo nanya pa benar kalau rang benci benci sebut benci benci
420,bang aku suka sama video mu omong kasar y
421,bang aku tetap support elu bg elu youtuber yg paling keren dunia aku selalu support elu
422,bang awal subscribekamuterus paskamuudah kaya unsubscribe chenelkamukeren nga saya nton videokamusoalnya kontenkamumenghibur walaupun faedah benci nama benci jago ngomong cuman dunia maya doang asli mental tempe
423,bang bagaimana ngedapetin muka kontol punya kamu
424,bang bidji kontolkamubelom pernah sentil yak
425,bang buat hidup kadang sangad tiydac adil punya kampang uang otak kelebihann ohyeeeahhhh versi si itil victoria yh bang
426,bang buat lagu kapan bang seru bang keren lebih bagus young lex buat bang plis
427,bang buat tutorial cara buat kulit putih cara baik cancer pakai bahan bahan gratis tambah keju batu bata
428,bang buat video backsound uwik wik wik ah ah ah s kamu ngegas vagina anjing isap
429,bang buat video react kontol paling gede dunia ato buat prank tanya orang punya ochinchin seta jawab baru jelasin kalau ochinchin bahasa jepang kontol itung itung limu bahasa jepang
430,bang buat videobalas komentar benci biar benci benci anjing ka kagak terus terus engbacot poko bang iric semangat aku tau kenal bukan suatu mudah gampang butuh proses uji hates pokok tetap semangat bang eric youtuber lebih sukses lawan benci benci anjing
431,bang chanel lhu ganti jha jangan ericko lim erick kontol
432,bang cobak main game vainglory ken liat sih benci haterkamurick au iri arti tak mampu wkwkwkwk benci keg kontoll benci di poin gan jess no limit subscribe channel aku
433,bang dateng rumah aku cepet kontol
434,bang diemin benci kontol capek sendiri
435,bang dulu aku benci kamu sekarang aku malah seka sama kamu
436,bang erick buatin lagu bang sumpah lagu kamu bagus semua utama yg judul please gwa sngat suka bang
437,bang erick juta subscribe cukur semua jembutkamuada yg tuju diajarinkamusama emakkamuatau emakkamugamarahkamungomong gituan gapernah sekolah tidak ajarin
438,bang erick muka kaya kontol
439,bang ericko aku suka ama bang ericko
440,bang ericko selalu bully sih kalian bully bang ericko bang ericko baik ramah
441,bang ericko selalu semangat pentingkamumasih punya rasa baik bang
442,bang erick kontol buat video yg lebih lucu dong bang tertawa anjing kalau liat videokamuauto bt kalau liat videokamubang lanjutin bangggg upload terus video kocakkamubangsat erickk ppq
443,bang ericontol buat opening yg dora suka bang kocak
444,bang erik usah peduli komentar yg jelek saja hari tertawa lihat laku walaupun unfedah first lah erick semangat juang penuh semangat no nyerah i am suportt you
445,bang erik tampan banget mau diapain tetep tampan bilang bang erik jelek arti iri bur nice lanjut
446,bang eriko baik kalau di depan kamera lanjutin bang banyak benci banyak uang tentu ngebacot sukses kayakamubang ktasi lahhh lim aku tau videokamumendidik parah bangsata
447,bang fans berat lokin benci anjing mahh buat lebih gokil bang biar benci kontol lebih neng hahahahhahaha
448,bang benci saya subscribe aku tolol sih
449,bang heterskamubang saya like video videokamugua baik
450,bang kontolers sejatibang
451,bang mau nanya tau beda kontol sama kamu
452,bang nonton videokamudari awal paskamungomong suruh subscribe langsung subscribe keren bang rick
