,Stemmed_Comments,Fixed_Comments
7135,haters rejeki,haters rejeki
7136,janji botak mana goblokkkk,janji botak mana goblokkkk
7137,biar duit ngalir terus ric kwkwkw kontol kamu kwkwkkw,biar duit ngalir terus ric kwkwkw alat kelamin pria kamu kwkwkkw
7138,cinta haters mu panas panasin tiap hari,cinta haters mu panas panasin tiap hari
7139,berubaaaahhhhg wkwk,berubaaaahhhhg wkwk
7140,uutramen,uutramen
7141,biji lanjut bau sampah wkwkwkwkw,biji lanjut bau limbah wkwkwkwkw
7142,falen tino ugiatsih great fucker,falen tino ugiatsih great fucker
7143,rvs junior bisa bedain anjing mana bener mana ngetot btw kamu kontol,rvs junior bisa bedain hewan ternak mana bener mana ngetot btw kamu alat kelamin pria
7144,raditya tata eh bocah ngentot baca komen bener anjing kontol paham baru komen ngentot,raditya tata eh bocah berhubungan intim baca komen bener hewan ternak alat kelamin pria paham baru komen berhubungan intim
7145,zenonz gaming indo baca yg bner punya mata bacaa ngetik apa,zenonz gaming indo baca yg bner punya mata bacaa ngetik apa
7146,raditya tata baca yg bner makanha coyy,raditya tata baca yg bner makanha coyy
7147,raditya tata tul,raditya tata tul
7148,rindu kau punya opening njenk wkwk gin wkwk,rindu kau punya opening njenk wkwk gin wkwk
7149,tolol nya ngatain erick kamu like sama subscribe dasar tolol,tidak pengertian nya ngatain erick kamu like sama subscribe dasar tidak pengertian
7150,intro legend gatain erick kamu like sama subscribe dasar tolol,intro legend gatain erick kamu like sama subscribe dasar tidak pengertian
7151,nice kontoru,nice kontoru
7152,yg komen jahat santet sama ericko lim,yg komen jahat santet sama ericko lim
7153,apasih yg dalam pikir heaters rick sok bijak banget gua semua orang punya hak buat bikin konten youtube apa dari youtube sendiri ngelarang youtubers punya cara masing masing buat hibur kalian kalian tidak suka tidak usah tonton ericko buat konten bokep ngewek baru kalian hujat kamu samperin terus kamu bakar hidup hidup mah serah kalian,apasih yg dalam pikir heaters rick sok bijak banget gua semua orang punya hak buat bikin konten youtube apa dari youtube sendiri ngelarang youtubers punya cara masing masing buat hibur kalian kalian tidak suka tidak usah tonton ericko buat konten film dewasa ngewek baru kalian hujat kamu samperin terus kamu bakar hidup hidup mah serah kalian
7154,hattersnya erik kaya kontol bapak,hattersnya erik kaya alat kelamin pria bapak
7155,tenang broo omong anak babi jangan dengar inti nya maju terus jangan serah ulang tahun luu kapan biar gua kumpulin orang buat subscribe luu hadiah gua okk fix maju terus salam anti skip siantar g buat hibur kalian kalian suka tidak usah tonton ericko buat konten bokep ngewek baru kalian hujat kamu samperin terus kamu bakar hidup hidup mah serah kalian,tenang broo omong anak hewan ternak jangan dengar inti nya maju terus jangan serah ulang tahun luu kapan biar gua kumpulin orang buat subscribe luu hadiah gua okk fix maju terus salam anti skip siantar g buat hibur kalian kalian suka tidak usah tonton ericko buat konten film dewasa ngewek baru kalian hujat kamu samperin terus kamu bakar hidup hidup mah serah kalian
7156,anjing haters nya goblok ada otak anjing tertawa auto pasang bom rumah nya masing masing para benci tertawa anjing otak mana otak pake anjing goblok terus salam anti skip siantar g buat hibur kalian kalian suka tidak usah tonton ericko buat konten bokep ngewek baru kalian hujat kamu samperin terus kamu bakar hidup hidup mah serah kalian,hewan ternak haters nya tidak pengertian ada otak hewan ternak tertawa auto pasang bom rumah nya masing masing para benci tertawa hewan ternak otak mana otak pake hewan ternak tidak pengertian terus salam anti skip siantar g buat hibur kalian kalian suka tidak usah tonton ericko buat konten film dewasa ngewek baru kalian hujat kamu samperin terus kamu bakar hidup hidup mah serah kalian
7157,bahkan banyak youtuber yg bocah ikud komen sini rasa sok asik video jilat mau bilang sok yee iya,bahkan banyak youtuber yg bocah ikud komen sini rasa sok asik video jilat mau bilang sok yee iya
7158,gakuat nahan tawa ampun djkud komen sini rasa sok asik video jilat mau bilang sok yee iya,gakuat nahan tawa ampun djkud komen sini rasa sok asik video jilat mau bilang sok yee iya
7159,jual iba bang,jual iba bang
7160,coment hate bgtuan para dukung wowo yg otak nya coment hate kontol tolol kamu semua ajg ambil baik ppk hanya hibur baperan sekali ngtd,coment hate bgtuan para dukung wowo yg otak nya coment hate alat kelamin pria tidak pengertian kamu semua ajg ambil baik ppk hanya hibur baperan sekali ngtd
7161,emank dasar haters kontol aowkaoakak,emank dasar haters alat kelamin pria aowkaoakak
7162,anjing erick kontol kamu gokil banget,hewan ternak erick alat kelamin pria kamu gokil banget
7163,soapers bogor hadir bang wkwk tertawa tai memek linuative koment ahh,soapers bogor hadir bang wkwk tertawa kotoran alat kelamin wanita linuative koment ahh
7164,vidio menit iklan banyak,vidio menit iklan banyak
7165,konten gin kamu yg tunggu stream lol apa reaction hati diinternet wkwkwk,konten gin kamu yg tunggu stream lol apa reaction hati diinternet wkwkwk
7166,banyak haters bocah bocah kontol auto kayaa,banyak haters bocah bocah alat kelamin pria auto kayaa
7167,yeeee intro jess no botak anjing,yeeee intro jess no botak hewan ternak
7168,anti skipp skipp iklan gantiin buat,anti skipp skipp iklan gantiin buat
7169,terima kasih lim luh hibur warga indonesia,terima kasih lim luh hibur warga indonesia
7170,rata bocah semua anjing yg komen kamu ric,rata bocah semua hewan ternak yg komen kamu ric
7171,inti kamu kontol rik wkwkwk santuy bae lah,inti kamu alat kelamin pria rik wkwkwk santuy bae lah
7172,mending jadi raper aja bang gwa suka karya musik kamu,mending jadi raper aja bang gwa suka karya musik kamu
7173,bakal ancur ngentot yt rewind kamu urus bangsat isi rewind game kontol,bakal ancur berhubungan intim yt rewind kamu urus tidak bermoral isi rewind game alat kelamin pria
7174,kalau liat kamu gua s anjir,kalau liat kamu gua s sialan
7175,bodo yang penting nonton yutub bukan milik kalian aja yaa bocah,bodo yang penting nonton yutub bukan milik kalian aja yaa bocah
7176,waa suka suka,waa suka suka
7177,gua suka gaya kamu njenkk lanjoottt sampe savage tertawa sekali liat tanggap kamu gua bocah yak,gua suka gaya kamu njenkk lanjoottt sampe savage tertawa sekali liat tanggap kamu gua bocah yak
7178,nama nya bocah bang kaya gtu laku nya kontol yg penting duit ngalir terus bang,nama nya bocah bang kaya gtu laku nya alat kelamin pria yg penting duit ngalir terus bang
7179,mhank eric kapan meet lampung tunggu mhank,mhank eric kapan meet lampung tunggu mhank
7180,wik wik wik wik wik wik uh uh ah ah ah,wik wik wik wik wik wik uh uh ah ah ah
7181,gua kira uya kuya,gua kira uya kuya
7182,detik gua tertawa,detik gua tertawa
7183,wkwwkkwwk rik rik stiap konten kamu bikin gua tertawa a human absurd wkwkwk,wkwwkkwwk rik rik stiap konten kamu bikin gua tertawa a human absurd wkwkwk
7184,yg coment jelek eriko lim orang nya munafik aja,yg coment jelek eriko lim orang nya tidak jujur aja
7185,ngntot pake sabun kontol memek jembut tempekkkkkkkk tempeeeeekkkkkkkkkk,ngntot pake sabun alat kelamin pria alat kelamin wanita rambut kemaluan tempekkkkkkkk tempeeeeekkkkkkkkkk
7186,kalau mau buat video unfaedah,kalau mau buat video unfaedah
7187,aku subscribe kamu rick aku tetep salut sama kamu goyah sedikit meski kamu banyak hatters banyak yg nge judge kamu kamu tetep kekeh sama diri kamu rick aku tau kamu orang baik moral meski aku pernah f f sama kamu rick inti keep fighting rick wa sini misal minum kalau d tiru anak sini tidak boleh atur,aku subscribe kamu rick aku tetep salut sama kamu goyah sedikit meski kamu banyak hatters banyak yg nge judge kamu kamu tetep kekeh sama diri kamu rick aku tau kamu orang baik moral meski aku pernah f f sama kamu rick inti keep fighting rick wa sini misal minum kalau d tiru anak sini tidak boleh atur
7188,btw kata kamu mau buat arap dead twice kamu laki bang aku salut kamu panutan aku jadi pegang omong kamu,btw kata kamu mau buat arap dead twice kamu laki bang aku salut kamu panutan aku jadi pegang omong kamu
7189,kok aku jadi suka skip iklan video kamu sial t kamu panutan aku jadi pegang omong kamu,kok aku jadi suka skip iklan video kamu sial t kamu panutan aku jadi pegang omong kamu
7190,apa cuma aku yg ngerasa ericko lim turun cina,apa cuma aku yg ngerasa ericko lim turun cina
7191,mantap intro legend,mantap intro legend
7192,haters duit duit duit,haters duit duit duit
7193,hatters fans yg tunda wkwk,hatters fans yg tunda wkwk
7194,lahh haters ketemu kamu jalan mungkin kalau minta foto wkwkw,lahh haters ketemu kamu jalan mungkin kalau minta foto wkwkw
7195,cek channel aku video baru,cek channel aku video baru
7196,awal aku jg sk ama si erikontol reza sarab d telah d tonton terus lama kog jd sorr aku malah aku anggap biasa aja semua kata hahahha,awal aku jg sk ama si erikontol reza sarab d telah d tonton terus lama kog jd sorr aku malah aku anggap biasa aja semua kata hahahha
7197,hapus channel,hapus channel
7198,makin kaya aja orang,makin kaya aja orang
7199,bang ericko kalau tau warnain rambut abis berapa duit aku mw warna abu gtu,bang ericko kalau tau warnain rambut abis berapa duit aku mw warna abu gtu
7200,wkwkwkw tertawa anjing,wkwkwkw tertawa hewan ternak
7201,benci orang iri kita,benci orang iri kita
7202,bang pernah mikir kalau tanya anak papa dulu papa makan jembut aku coba,bang pernah mikir kalau tanya anak papa dulu papa makan rambut kemaluan aku coba
7203,tertawa anjinkr kalau tanya anak papa dulu papa makan jembut aku coba,tertawa anjinkr kalau tanya anak papa dulu papa makan rambut kemaluan aku coba
7204,kaya kenal cara ngomong nya siapa bantu ingat dong n jembut aku coba,kaya kenal cara ngomong nya siapa bantu ingat dong n rambut kemaluan aku coba
7205,bang adu panco kalah putusin cewenya,bang adu panco kalah putusin cewenya
7206,banyak orang orang goblok lim yg komen gitu kalau suka tinggal usah tonton aku nonton video kamu cuma buat hibur jangan buat serius hahahha,banyak orang orang tidak pengertian lim yg komen gitu kalau suka tinggal usah tonton aku nonton video kamu cuma buat hibur jangan buat serius hahahha
7207,baca komen aku anjing hate komen,baca komen aku hewan ternak hate komen
7208,semua comment hate serius banyak becanda mau ikut toxic aja kalau konten toxic tidak salah kalau comment toxic tidak,semua comment hate serius banyak becanda mau ikut toxic aja kalau konten toxic tidak salah kalau comment toxic tidak
7209,kolim i love you ate serius banyak becanda mau ikut toxic aja kalau konten toxic tidak salah kalau comment toxic tidak,kolim i love you ate serius banyak becanda mau ikut toxic aja kalau konten toxic tidak salah kalau comment toxic tidak
7210,rick aku elu bikin konten jangan ngomong kasar konten yg makan jembut yg negatif banyak bocah niru elu dah bilang influencer bagaimana negara mau maju bocah aja laku nya kotor gara kamu negara kembang malah influen nya gin maju negara paling lama hmmmm harap indo di pimpin pimpin tegas berantas influen negatif soal bahaya bocah terus bangsa hatterserikgoblok,rick aku elu bikin konten jangan ngomong kasar konten yg makan rambut kemaluan yg negatif banyak bocah niru elu dah bilang influencer bagaimana negara mau maju bocah aja laku nya kotor gara kamu negara kembang malah influen nya gin maju negara paling lama hmmmm harap indo di pimpin pimpin tegas berantas influen negatif soal bahaya bocah terus bangsa hatterserikgoblok
7211,intro legend kamvret,intro legend kamvret
7212,kan channel didik,kan channel didik
7213,rik ome lah woiii,rik ome lah woiii
7214,haters jadi kaya n,haters jadi kaya n
7215,terus maju bang gua subscribe chanel kamu mulai rb subscribe aku mas ingat bang,terus maju bang gua subscribe chanel kamu mulai rb subscribe aku mas ingat bang
7216,tertawa akwokawok haters gaada otak,tertawa akwokawok haters gaada otak
7217,gua ken masuk read benci comment kamu tod,gua ken masuk read benci comment kamu tod
7218,kontenlu faedah kok bang,kontenlu faedah kok bang
7219,betul tu bang kalau sukak jangan tonton ajing ahahahahha bocorrrrr abisss uat vidio kaya gin bang,betul tu bang kalau sukak jangan tonton ajing ahahahahha bocorrrrr abisss uat vidio kaya gin bang
7220,mangkin erik ajarin orang tua bicara anjing kontol bacot orang tua kamu luar biasa,mangkin erik ajarin orang tua bicara hewan ternak alat kelamin pria banyak bicara orang tua kamu luar biasa
7221,bangsat kamu bang sat,tidak bermoral kamu bang sat
7222,jangan asal sebut nama isis bang lacak tau rasa kamu,jangan asal sebut nama isis bang lacak tau rasa kamu
7223,gwe nggk skip iklan sama sekali anjing,gwe nggk skip iklan sama sekali hewan ternak
7224,anti skip klub,anti skip klub
7225,bg aku saranin konten kamu dikenain batas umur bg biar lihat bocah cuma ngasih saran aja,bg aku saranin konten kamu dikenain batas umur bg biar lihat bocah cuma ngasih saran aja
7226,sumpah tertawa emg bocor bg eric wwkwkwwkwk,sumpah tertawa emg bocor bg eric wwkwkwwkwk
7227,aku fans berat kamu rik semua iklan nya pernah aku skip cman video nya yg aku skip,aku fans berat kamu rik semua iklan nya pernah aku skip cman video nya yg aku skip
7228,lanjodd aja broo aku tuju kalau suka yah jangan tonton gt aja ribet wkwkwkw,lanjodd aja broo aku tuju kalau suka yah jangan tonton gt aja ribet wkwkwkw
7229,dong bang main pubg liatin jantan kamu bang keren savage ric too lim,dong bang main pubg liatin jantan kamu bang keren savage ric too lim
7230,woy kontol video kamu banyak iklan anjing auto kaya kamu,woy alat kelamin pria video kamu banyak iklan hewan ternak auto kaya kamu
7231,anjing kelaperan kok toxic kontol bilang cuman canda akhir serang dog lovers eh klarifikasi udah lama video nya tetep aja anjing bingung aja otak gitu,hewan ternak kelaperan kok toxic alat kelamin pria bilang cuman canda akhir serang dog lovers eh klarifikasi udah lama video nya tetep aja hewan ternak bingung aja otak gitu
7232,erikintil,erikintil
7233,wkwkw tarik nafas bau memek wkwkwk,wkwkw tarik nafas bau alat kelamin wanita wkwkwk
7234,tertawa liat reaction kamu bang asli kontol bilang cuman canda akhir serang dog lovers eh klarifikasi udah lama video nya tetep aja anjing bingung aja otak gitu,tertawa liat reaction kamu bang asli alat kelamin pria bilang cuman canda akhir serang dog lovers eh klarifikasi udah lama video nya tetep aja hewan ternak bingung aja otak gitu
7235,mau terus ericko lim jangan dengar apa kata heaters cuman kamu satu satu nya youtuber kontol,mau terus ericko lim jangan dengar apa kata heaters cuman kamu satu satu nya youtuber alat kelamin pria
7236,woey erick tai kapan kamu botak,woey erick kotoran kapan kamu botak
7237,tertawa rik we liat video kamu,tertawa rik we liat video kamu
7238,pantesan bnyk haters kamu songong amet njing like yg tuju eriko lim hapus chanell,pantesan bnyk haters kamu songong amet njing like yg tuju eriko lim hapus chanell
7239,goblok murni beri tuhan,tidak pengertian murni beri tuhan
7240,haha jancok semua yg komen subcrib bhsanya niru erik kntl,haha jancok semua yg komen subcrib bhsanya niru erik kntl
7241,rick aku tuuh gasuka liat video konten kamu lebih suka liat iklan iklan ada video kamu makanya iklan aku skip,rick aku tuuh gasuka liat video konten kamu lebih suka liat iklan iklan ada video kamu makanya iklan aku skip
7242,channel sampah,channel limbah
7243,biar haters jadi penyemngat luu penamba addsens iat iklan iklan ada video kamu makanya iklan aku skip,biar haters jadi penyemngat luu penamba addsens iat iklan iklan ada video kamu makanya iklan aku skip
7244,istri ocong cina kok toxic,istri ocong cina kok toxic
7245,nama nya aja liat kok lim,nama nya aja liat kok lim
7246,organisasi prostitusi indonesia channel erick subang,organisasi prostitusi indonesia channel erick subang
7247,pigman,pigman
7248,manusia,manusia
7249,saaih,saaih
7250,erpan,erpan
7251,jessnolimit,jessnolimit
7252,kasi kamu tod kacang,kasi kamu tod kacang
7253,commentnya tolol tolol tu bocah bocah kontol,commentnya tidak pengertian tidak pengertian tu bocah bocah alat kelamin pria
7254,erickonolimitpros,erickonolimitpros
7255,haha gpp lah lanjut terus bro usah masuk on hati cuman buat have fun aja,haha gpp lah lanjut terus bro usah masuk on hati cuman buat have fun aja
7256,mantap youtube memang seperti uk on hati cuman buat have fun aja,mantap youtube memang seperti uk on hati cuman buat have fun aja
7257,btw w tertawa ajg,btw w tertawa ajg
7258,diss komen emg ngubah orang gabisalah anjengggg semua punya hak masing mau bagaimana aja hak kamu apa emamg ngelarang larang orang semua orang beda beda makanya jangan cuma analis orang tapi kenal lah sampe tai nya bg kaya raja aja kamu ngurus hidup org ky yg udah paling perfect aja,diss komen emg ngubah orang gabisalah anjengggg semua punya hak masing mau bagaimana aja hak kamu apa emamg ngelarang larang orang semua orang beda beda makanya jangan cuma analis orang tapi kenal lah sampe kotoran nya bg kaya raja aja kamu ngurus hidup org ky yg udah paling perfect aja
7259,gudd,gudd
7260,ngilu anjeng,ngilu anjeng
7261,qore wokwokwokow,qore wokwokwokow
7262,rezky febian kok sekarang tatto an,rezky febian kok sekarang tatto an
7263,banyak bocah dah channel kamu rik skrg sedih,banyak bocah dah channel kamu rik skrg sedih
7264,anjing ngaksk gua rik ngliat expresilu jhaha,hewan ternak ngaksk gua rik ngliat expresilu jhaha
7265,tertawa rik terus upload rik bikin aku tertawa malah btw kalau ketawa bikin awet muda but jangan terlalu ketawa ntr dijeblosin rsj anjenk keep toxic if u can toxic gratis,tertawa rik terus upload rik bikin aku tertawa malah btw kalau ketawa bikin awet muda but jangan terlalu ketawa ntr dijeblosin rsj anjenk keep toxic if u can toxic gratis
7266,anjir dewa gemah qorygore,sialan dewa gemah qorygore
7267,intro dora dong rick,intro dora dong rick
7268,aku lebih suka konten kamu yg dulu bang yg jadi pinki man tertawa,aku lebih suka konten kamu yg dulu bang yg jadi pinki man tertawa
7269,tau gitu gua jadi haters kamu broo biar di baca ama kamu spa tau aja subscribe gua naik drastis,tau gitu gua jadi haters kamu broo biar di baca ama kamu spa tau aja subscribe gua naik drastis
7270,type anji g it s too damn highhhhh,type anji g it s too damn highhhhh
7271,bantu up channel guys,bantu up channel guys
7272,reza arap oktovian forever best,reza arap oktovian forever best
7273,cariin aja orang nya bng om dedy hahaha langsung takut tu orang kalau mau hina tu jangan bawa orang tua begooooo bego bng ngomongin kamu tidak punya asa wkwkwk diomongin mana kamu tanggepin wkwkwk,cariin aja orang nya bng om dedy hahaha langsung takut tu orang kalau mau rendah tu jangan bawa orang tua begooooo tidak pintar bng ngomongin kamu tidak punya asa wkwkwk diomongin mana kamu tanggepin wkwkwk
7274,auto budeg pake earphone anjing,auto budeg pake earphone hewan ternak
7275,lover boss gua bt jadi ketawa boss good bos konten kamu,lover boss gua bt jadi ketawa boss good bos konten kamu
7276,poko kamu lebih ganteng arapp pokonyaa,poko kamu lebih ganteng arapp pokonyaa
7277,aku tau kamu king of toxic lalu apa yg harap cuy wkwk hibur gblk kalau mau didik nonton mata najwa aja pantes sok an nyuruh ngedidik orang mereka sndri kurang didik masa iya masuk channel toxic terus nyari ilmu dsini goblok,aku tau kamu king of toxic lalu apa yg harap cuy wkwk hibur gblk kalau mau didik nonton mata najwa aja pantes sok an nyuruh ngedidik orang mereka sndri kurang didik masa iya masuk channel toxic terus nyari ilmu dsini tidak pengertian
7278,haters is tambang emas,haters is tambang emas
7279,aku lbih sukak kamu duet sama pacar kamu,aku lbih sukak kamu duet sama pacar kamu
7280,sabar rik gua yakin kamu sukses jadi kontol club,sabar rik gua yakin kamu sukses jadi alat kelamin pria club
7281,kalau suka chanel nya erick yha gausah lihat lol ambil tuhh sisi positif cerita erick memek kamu bngst,kalau suka chanel nya erick yha gausah lihat lol ambil tuhh sisi positif cerita erick alat kelamin wanita kamu bngst
7282,haters kamu kalau liat kamu giveaway laptop rog langsung bilang gua subscribe kamu lama bang haters kontol btw tq haters make money fast wkwkwkwk,haters kamu kalau liat kamu giveaway laptop rog langsung bilang gua subscribe kamu lama bang haters alat kelamin pria btw tq haters make money fast wkwkwkwk
7283,haters money makin banyak haters makin banyak gosip makin banyak tau kamu makin banyak money coyyyyyyy gokil ericko lim haters fans tunda,haters money makin banyak haters makin banyak gosip makin banyak tau kamu makin banyak money coyyyyyyy gokil ericko lim haters fans tunda
7284,bang gua ngak pernah skip iklan kamu,bang gua ngak pernah skip iklan kamu
7285,kontlo bapak kau pecah,kontlo bapak kau pecah
7286,hahaha kontol,hahaha alat kelamin pria
7287,aku cuma fans yg cuma nyimak,aku cuma fans yg cuma nyimak
7288,kamu mirip sule rik,kamu mirip sule rik
7289,ericko no limit prosss is back madafakah,ericko no limit prosss is back madafakah
7290,rik rambutlu sisir apa kali kali kesel aku njirrr liat,rik rambutlu sisir apa kali kali kesel aku njirrr liat
7291,wkwkwk tertawa,wkwkwk tertawa
7292,apasih kontolllllllll,apasih kontolllllllll
7293,gausah peduli haters wkwk yg penting aku nonton semua konten kamu aja wkwk,gausah peduli haters wkwk yg penting aku nonton semua konten kamu aja wkwk
7294,warpath apa daylen anjing,warpath apa daylen hewan ternak
7295,toxic hal biasa kamu gaul temen kamu dia hina agama fine aja,toxic hal biasa kamu gaul temen kamu dia rendah agama fine aja
7296,yg jelas makin atas makin kuasa ye,yg jelas makin atas makin kuasa ye
7297,parah bro kalau bocah yg tiru tingkah mutu kamu kamu tiba tiba mati apa kamu takut dosa jariyah,parah bro kalau bocah yg tiru tingkah mutu kamu kamu tiba tiba mati apa kamu takut kesalahan jariyah
7298,haters biasa aja bg erik inti tetap semngat kejar tuju kalau teliti lebih motivasi kamu lebih byk bg yg ampe pun jdi youtuber,haters biasa aja bg erik inti tetap semngat kejar tuju kalau teliti lebih motivasi kamu lebih byk bg yg ampe pun jdi youtuber
7299,mantaf rik lanjut,mantaf rik lanjut
7300,banyak banget njerrr iklan nya,banyak banget njerrr iklan nya
7301,bang orang gendut biasa kontol nya kecil,bang orang berisi biasa alat kelamin pria nya kecil
7302,kocak anjaay langsung subscribe aku wkwkw hajar aja kon wkwkw,kocak anjaay langsung subscribe aku wkwkw hajar aja kon wkwkw
7303,tertawa aku sama haters kamu,tertawa aku sama haters kamu
7304,dark content,dark content
7305,ada cash akan happy beli tix id,ada cash akan happy beli tix id
7306,haters indo mah jahat jahat,haters indo mah jahat jahat
7307,lanjut ric,lanjut ric
7308,mantap tod,mantap tod
7309,kalimat buat haters bacot kau jembut,kalimat buat haters banyak bicara kau rambut kemaluan
7310,semangat terus rik jangan dengerin anak kontol penting bisa makan duit sendiri cuma iri channel nya private jadi lampias nya luh mungkin bener rik hhe,semangat terus rik jangan dengerin anak alat kelamin pria penting bisa makan duit sendiri cuma iri channel nya private jadi lampias nya luh mungkin bener rik hhe
7311,iklan di skip,iklan di skip
7312,mantap bro,mantap bro
7313,mah gara arap si kontol pake baper ank haram nya,mah gara arap si alat kelamin pria pake baper ank haram nya
7314,tumben kgk sama pacar kamu bang,tumben kgk sama pacar kamu bang
7315,i see mas mas gore i click like,i see mas mas gore i click like
7316,chanel taeeek,chanel taeeek
7317,ini eriko haters is money baper ank haram nya,ini eriko haters is money baper ank haram nya
7318,fucking bitch haters fans tunda haha lanjut bang hahahaha,fucking bitch haters fans tunda haha lanjut bang hahahaha
7319,live bang biar g da sensor wkwkwwkk,live bang biar g da sensor wkwkwwkk
7320,aku cinta ericko lim,aku cinta ericko lim
7321,lanjut smngat terus eriknsor wkwkwwkk,lanjut smngat terus eriknsor wkwkwwkk
7322,maen pb lg rik sopers idupin lg kangen bro,maen pb lg rik sopers idupin lg kangen bro
7323,mpssssshhhhhh,mpssssshhhhhh
7324,mmk ngilu wakaka,mmk ngilu wakaka
7325,azab orang yg mukak nya kontol bagaimana,azab orang yg mukak nya alat kelamin pria bagaimana
7326,soapking mah bebas,soapking mah bebas
7327,pesan moral erick emang bethebest banget bgst wkwkwkwkwkwk bang hahahaha,pesan moral erick emang bethebest banget bgst wkwkwkwkwkwk bang hahahaha
7328,anti skip iklan,anti skip iklan
7329,you re my capt now rik btw jangan kaya doi yaa yg lupa darat hehehehev,you re my capt now rik btw jangan kaya doi yaa yg lupa darat hehehehev
7330,memek ngiluu wkwkw,alat kelamin wanita ngiluu wkwkw
7331,pink guy,pink guy
7332,erick kontol gua subscribe hha,erick alat kelamin pria gua subscribe hha
7333,mamak kamu lontee tmpilan kyl perek jalang makan tu jembut emak kamu,mamak kamu lontee tmpilan kyl pekerja seks jalang makan tu rambut kemaluan emak kamu
7334,wkwkwk mantap anjing,wkwkwk mantap hewan ternak
7335,kadal gencet wkwkwkkwkw ajg si,kadal gencet wkwkwkkwkw ajg si
7336,tenang rik di sosmed hina kamu kalau ketemu ngajak foto wkwkw,tenang rik di sosmed rendah kamu kalau ketemu ngajak foto wkwkw
7337,wwkwkwkwk,wwkwkwkwk
7338,klik iklan nya bego biar erick tambah kaya adsense nya,klik iklan nya tidak pintar biar erick tambah kaya adsense nya
7339,bang jangan terlalu toxic bang banyak anak kecil nonton kalau hatdehhh,bang jangan terlalu toxic bang banyak anak kecil nonton kalau hatdehhh
7340,the best bosqu cuma nontonin video kamu gua ketawa tertawa,the best bosqu cuma nontonin video kamu gua ketawa tertawa
7341,cukup tertawa tertawa kali cukup tertawa bang aku tau hatters tu hasil duit,cukup tertawa tertawa kali cukup tertawa bang aku tau hatters tu hasil duit
7342,bng aku subscribe and like video elo,bng aku subscribe and like video elo
7343,inti,inti
7344,bangsat sia rik,tidak bermoral sia rik
7345,makan jembut kamu sono goblok haha hina tolol,makan rambut kemaluan kamu sono tidak pengertian haha rendah tidak pengertian
7346,bang mpl surabaya datang,bang mpl surabaya datang
7347,ankuu gaming yogs betul sekali cok,ankuu gaming yogs betul sekali cok
7348,se mang,se mang
7349,tuju rik semangat,tuju rik semangat
7350,tuju anjink at,tuju anjink at
7351,ankuu gaming nah panutan,ankuu gaming nah panutan
7352,aowkaowk babi x tertawa aku asu,aowkaowk hewan ternak x tertawa aku asu
7353,woi anjink gua bukan benci gua emang toxic tolol,woi anjink gua bukan benci gua emang toxic tidak pengertian
7354,gua malah tertawa bangsat bngst emg eriko lim,gua malah tertawa tidak bermoral bngst emg eriko lim
7355,chanell hibur anjirrr jujur aku hibur sama video nya si erikontol soapking,chanell hibur anjirrr jujur aku hibur sama video nya si erikontol soapking
7356,sumpah tertawa gua bang liat video kamu haters emang bang ada otak nya kerja cuma bully orang doang ada faedah nya ajg makin banyak yg bully makin tenar auto kaya yg udah aja kaya bowo sekarang banyak fans nya wkwkwk haters makin tolol,sumpah tertawa gua bang liat video kamu haters emang bang ada otak nya kerja cuma bully orang doang ada faedah nya ajg makin banyak yg bully makin tenar auto kaya yg udah aja kaya bowo sekarang banyak fans nya wkwkwk haters makin tidak pengertian
7357,aku suka channel kamu ericko lim,aku suka channel kamu ericko lim
7358,makin lama makin mirip marlojangan dengerin hatter yg iri,makin lama makin mirip marlojangan dengerin hatter yg iri
7359,banyak haters banyak duit,banyak haters banyak duit
7360,wkwkwkwkwkwkkwkkk anjing anjing anjing panutan,wkwkwkwkwkwkkwkkk hewan ternak hewan ternak hewan ternak panutan
7361,maksain menit kontol,maksain menit alat kelamin pria
7362,ni aku demen konten bgini wkwkwk,ni aku demen konten bgini wkwkwk
7363,tarik nafas dalam hembus,tarik nafas dalam hembus
7364,kontol rick,alat kelamin pria rick
7365,sedih liat iklan gua,sedih liat iklan gua
7366,deket goggle play button muka siapa,deket goggle play button muka siapa
7367,anjeng aku rindu intro jess wkwk makasih rik isi masamuda ku tingkah kontol wkwk,anjeng aku rindu intro jess wkwk makasih rik isi masamuda ku tingkah alat kelamin pria wkwk
7368,bng coba main coc dnk bng,bng coba main coc dnk bng
7369,noh denger goblok itu bikin content hibur bukan didik kalau ken content didik kamu cari youtubers bikin content didik bukan ngatain itu semua orang maksud tentu kalau buruk jangan laku kalau baik ambil sisi baik makanya punya otak pake perfect aja,noh denger tidak pengertian itu bikin content hibur bukan didik kalau ken content didik kamu cari youtubers bikin content didik bukan ngatain itu semua orang maksud tentu kalau buruk jangan laku kalau baik ambil sisi baik makanya punya otak pake perfect aja
7370,tau gitu aku komen toxic biar kamu baca rik,tau gitu aku komen toxic biar kamu baca rik
7371,comment hatersnya pedes semua bgst wkwkwk serasa makan geprek lv,comment hatersnya pedes semua bgst wkwkwk serasa makan geprek lv
7372,sabar yaaaa erick kontol,sabar yaaaa erick alat kelamin pria
