,Stemmed_Comments,Fixed_Comments
2479,apa gua jadi haters kamu komen gua baca eaa,apa gua jadi haters kamu komen gua baca eaa
2480,jan dengerin hatters bang erick cuman cari sensasi,jan dengerin hatters bang erick cuman cari sensasi
2481,tumben erick ngomong yg bener bukan memek ato segala macem,tumben erick ngomong yg bener bukan alat kelamin wanita ato segala macem
2482,jangan takut hina rik hahahah,jangan takut rendah rik hahahah
2483,channel didik broo aku nge fans bener ama erickolim aku kalau bully malah neng hahaha i like you ericko lim,channel didik broo aku nge fans bener ama erickolim aku kalau bully malah neng hahaha i like you ericko lim
2484,kak ajar dong dengerin saran positif orang,kak ajar dong dengerin saran positif orang
2485,aku support kamu rick,aku support kamu rick
2486,mayoritas wkwk land,mayoritas wkwk land
2487,qory ikut ytrewind,qory ikut ytrewind
2488,bang dateng rumah aku cepet kontol,bang dateng rumah aku cepet alat kelamin pria
2489,keren rik tahan channel kamu terus upload konten yg tolol tolol,keren rik tahan channel kamu terus upload konten yg tidak pengertian tidak pengertian
2490,mana janji kamu rick juta sus botak upload konten yg tolol tolol,mana janji kamu rick juta sus botak upload konten yg tidak pengertian tidak pengertian
2491,ngapain bawa bowo ytrw anjing looo,ngapain bawa bowo ytrw hewan ternak looo
2492,sampai sama bawa bawa agama menit tolol liat banget kentod bawabawa mayoritas mabok agama malah liat tolol anjing,sampai sama bawa bawa agama menit tidak pengertian liat banget kentod bawabawa mayoritas mabok agama malah liat tidak pengertian hewan ternak
2493,semangat karya anjink,semangat karya anjink
2494,auto dislike,auto dislike
2495,gasuka gausah nonton,gasuka gausah nonton
2496,serah kamu,serah kamu
2497,wkwkwkw memek ngiluu tertawa anjinggg,wkwkwkw alat kelamin wanita ngiluu tertawa anjinggg
2498,asli haters tadi otak nya tertawa,asli haters tadi otak nya tertawa
2499,tertawa gua haterss pd tolol blom juga itu org vnr kontilet kentod bawabawa mayoritas mabok agama malah liat tolol anjing,tertawa gua haterss pd tidak pengertian blom juga itu org vnr kontilet kentod bawabawa mayoritas mabok agama malah liat tidak pengertian hewan ternak
2500,wkwkwkwkwk tulis sambung om juga itu org vnr kontilet kentod bawabawa mayoritas mabok agama malah liat tolol anjing,wkwkwkwkwk tulis sambung om juga itu org vnr kontilet kentod bawabawa mayoritas mabok agama malah liat tidak pengertian hewan ternak
2501,soapers vs rapstronot,soapers vs rapstronot
2502,bang jt live coli wkkw,bang jt live coli wkkw
2503,erick asli baik,erick asli baik
2504,woi kamu the jak bukan bang sat,woi kamu the jak bukan bang sat
2505,sabar rick slaw aj aku dukung kamu kok,sabar rick slaw aj aku dukung kamu kok
2506,ken dadi heter dehh,ken dadi heter dehh
2507,berapa greget kamu,berapa greget kamu
2508,hidup rad anjing jangan lembek aku suka gaya kamu eriko tahan kontol mu,hidup rad hewan ternak jangan lembek aku suka gaya kamu eriko tahan alat kelamin pria mu
2509,terus lanjut chanel kamu bang aku jadi dapat hibur ontol mu,terus lanjut chanel kamu bang aku jadi dapat hibur ontol mu
2510,gua nonton subscribe,gua nonton subscribe
2511,erik kontol emang kamu sama kontol wajah cewek masak punya kontol u,erik alat kelamin pria emang kamu sama alat kelamin pria wajah cewek masak punya alat kelamin pria u
2512,kalau channel kamu didik lebih baik hps aja channel lunya kontol u,kalau channel kamu didik lebih baik hps aja channel lunya alat kelamin pria u
2513,subscribe cuma juta aja pake gaya kalah sama atta halilintau,subscribe cuma juta aja pake gaya kalah sama atta halilintau
2514,wahhhh bangsad semenjak aku nonton video kamu aku jadi makin ken nampol kamu wwkwkwk erick anjinh,wahhhh bangsad semenjak aku nonton video kamu aku jadi makin ken nampol kamu wwkwkwk erick anjinh
2515,kocak njir,kocak njir
2516,walpaht dylen mukaknya sam senyum dylen rambut dagu jyk walpht coba jelasin,walpaht dylen mukaknya sam senyum dylen rambut dagu jyk walpht coba jelasin
2517,katain si lim org gila maaf kalian yaang gila,katain si lim org tidak waras maaf kalian yaang tidak waras
2518,usah peduliin haters jadi diri sendiri aja bro,usah peduliin haters jadi diri sendiri aja bro
2519,bang erik ayo mabar pubg,bang erik ayo mabar pubg
2520,anjir lol,sialan lol
2521,eriko lim orang pinter asu semua nya duitin wkkwkwkwk ampe yg begini jadi duit aku salut nya ama tau mana yg nama agama mana yg nama canda dia juga mikir ko kalau masalah agama liat aja cara ngomongnya kalau serius yg aku suka muka nya mirip kaya uju palkon aku asw ea never give up rik god bless,eriko lim orang pinter asu semua nya duitin wkkwkwkwk ampe yg begini jadi duit aku salut nya ama tau mana yg nama agama mana yg nama canda dia juga mikir ko kalau masalah agama liat aja cara ngomongnya kalau serius yg aku suka muka nya mirip kaya uju palkon aku asw ea never give up rik god bless
2522,this guy is lit broo,this guy is lit broo
2523,tertawa asuu,tertawa asuu
2524,benci yg jauh dekat yg dekat rapat auto kaya kntl,benci yg jauh dekat yg dekat rapat auto kaya kntl
