likeCount,Comments,Author
0.0,membaca komen nya orang goblok ternyata seru juga v,Abyan Daffa
0.0,gw cuman nonton lu bukan subs and like lu kntl,Ahmad Zidan
0.0,erik ganteng kok kalo diliat dari jauh,Ahmad Zidan
2.0,gua gak suka lu lu perusak generasi bangsa woy ngomong kotor gak sopan sebab itu youtuber kesukaan gua miawaug ama jessnolimit,Auryn Nugraha
0.0,apa itu fans tertunda ,
,,
,,
,,
0.0,fans yang tertunda kyk pernah denger dari skinnyfabs wkwkw,Jason AJA
1.0,yee tolo kalean udah tau ga berfaedah masih ditonton aja,Nurunaru 225
0.0,makin scroll comment makin banyak yg sok suci v,Adam Ridiansyah
0.0,woiii collab sama arap,Veronique La Bella
0.0,bang,Veronique La Bella
0.0,plis collab sama arap,Veronique La Bella
0.0,bang collab sama rap bang ih,Veronique La Bella
0.0,bang collab sama arap bang,Veronique La Bella
0.0,yang sabar bang,rasya45gaming lol
2.0,soapers bang,D15ylan Raiza
1.0,bodoamat njinggg sama eriko tapi lebih bodo para heter lu njingg ,
,,
,,
,,
,,
,,
0.0,ngakak bang liat ini,Alvin Rezasaputra
0.0,wkwkwkwk i love you ericko lim,Gema Samudra Habil Febrian
0.0,nyesel gua nontonin ni video menit ,
,,
,,
,,
,,
,,
,,
,,
,,
0.0,liat konten yang terlalu normal jg kadang membosankan jdi ya kadang tujuan mampir ke konten yg unnormal kek gni ya jg salah satu asupan hiburan prinsip dan cara orang beda buat ngibur viewers nya dan mungkin ya kek gnilah cara si erick buat ngibur lo pada ,
,,
0.0,lim lu kalo ngomong nyelon baru bagus,Aditya Romadhoni
0.0,gw mah sub lu cuma buat nonton video lu doang ,
,,
,,
0.0,lanjut aja buat konten unfaedah gua seneng kok lihat itu v,Dolar teguh
0.0,chanel motivasi keluarga,Syahrul Syarif
1.0,mantap kali bang,REY ROY
0.0,awokwo tai kucing manis d,Safei_ Khocoy
0.0,keren hahha keren wow,fathul mrd
0.0,itu yang bilang g mutu bokep di youtube aja ada dan laris lu diem aja ,
,,
0.0,wkwkwkw anjg ngakak w ma komenan haters nya v,Yfn Walker
0.0,ajg fans yg tertundaan apaan ajg najis,Beat Fi
1.0,chanel peler kesayangan yuhuuu erkontolim ,
,,
0.0,gw suka kontes lu gara lucu rik santai aja yg haters itu pd bocah ngentod smua,Diaz Baru
0.0,eh erikontol video lu keren cuk ntai aja yg haters itu pd bocah ngentod smua,MADDOG DMAN
0.0,ngakak mulu gw kali liat video ini aja yg haters itu pd bocah ngentod smua,SKATE PUNK99
0.0,bener bang elu elu itu udah has sama omong jorok lu  bocah ngentod smua,nur hikmah dwi lestari hikmah
0.0,keren bang,Arga Achmad
0.0,asal kalian tau banyak youtuber temennya erick bilang kalo erick itu aslinya baik ,Benny pakarti
,,
0.0,biasalah normy kan otaknya dangkal akowkowkwow,sultan -fajaru
0.0,klo ga suka ga usah nonton semudah itu anj nggg,Figar Alif
0.0,mautaunamasaya cariajasendiri gua gak peduli lagi ama dia biarin aja kominfo tau youtube diblokir lama lama bnyk yg laporin ntol,Auryn Nugraha
0.0,dia cuma menghibur kontol lo ga suka ga usah mampir kesini goblok save erikontolim,Mautaunamasaya Cariajasendiri
0.0,mantap bang gua suka gaya luu tetep stay cool aja bangni goblok save erikontolim,komang arnawaaa
0.0,that s why i subs you rick,Dendy Sakti Anugerah
0.0,gw dukung lu kok bang sans ajh ngadepin haters stres kek mreka,Nata _
0.0,banting semua haters bang h ngadepin haters stres kek mreka,Vicocchi Seijuro
0.0,gua setuju lu ganteng,Cooper Brand
1.0,tuh bang erik tuh cuma mau bikin lu asik gituuu goblok lo hatters,Yafie Zain
0.0,gua dukung luh rik terus berkarya yg loh bisa ,
,,
0.0,bang unbox iron man mark bang,ARYA tokusatsu
0.0,haters tapi pasti lagi nonton video ini,IqxandGamer
0.0,bagian akir video gw setuju gw subs channel lu lu main franco lagi saingan skill hook sama wolf xotik,Ian krisna
0.0,bang colab sama corygore  gw subs channel lu lu main franco lagi saingan skill hook sama wolf xotik,althaf sheva
0.0,y,JAJANAN WAR03NG
0.0,cintai kont l mu nonton kimi tiap hari,Ipang-sweets Ipang-smity
0.0,mantap  l mu nonton kimi tiap hari,Bakti Zurishadai
0.0,bacot buncit,Ferdi Maulana
1.0,wkwkwk,Rez4 4pr1l14No
0.0,gue dukung lo rick ,
,,
,,
,,
,,
,,
,,
0.0,intinya lu sampah ngera anjing lu kontol,paokGaming Channel
0.0,gue cuma mo ngomong ,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0.0,memek ngilu anjing,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
0.0,gua suka sama lu karena lu ngeres kyk gua haha suka bilang memek kontol dan sebagainya,Rikaf 255
0.0,mantapu karena lu ngeres kyk gua haha suka bilang memek kontol dan sebagainya,Firdaus Kediri
0.0,bang sensor yg jorok nya donkkkkk,Calista Angelina
0.0,taek haters,DRM GAMING
0.0,bang masukin komenan gua ke you tube lu wkwkwk,Mhmd Taufik R
0.0,heeh cing sabar w,Mhmd Taufik R
0.0,v,R E I N A
0.0,ributin yuu haters rick di ajak ketemu kicep haters jaman sekarang lemah,Deni Oktavian Aditama
0.0,bang muka lu ganteng gua ajak ketemu kicep haters jaman sekarang lemah,meilan chanaya
0.0,lebih lucuan hate komen ketimbang kinten lu rick v,MUNKY
1.0,konten lu ngikutin filthyfrank anjing,david atmadja
0.0,ngomong di coment bisa kalo mau ngomong depanya jadi haters tuh harus berani masa ngomong dicoment,Driyan Ahyar Prasaja
0.0,suka bngt,Amin Abbas
0.0,lcu,Amin Abbas
0.0,ya bener lah buat video harus mendidik karena yg nonton itu pada di bawah umur anak kecil kids kodomo you know,Ahmadkardian Suryana
0.0,comment hatter membuat lebih baik tapi kapan,Ahmadkardian Suryana
0.0,erickontol gua jadi subs lo gara gara video ini gila ngentot lain kali makan jembut pacar lu ya njing,100 Subscribes with no videos Please
0.0,anjingg erick gila pro bgt bikin org ngakak v,David Wijaya
0.0,be patient bb,Cindy Morris
0.0,hii kimi hime,Irfandi Maulana
1.0,mereka gak menghina kamu ka tapi ngomong nya aja  di jaga Kin kali makan jembut pacar lu ya njing,Jeremia Axl
0.0,eriko my inspirasi gokiltapi ngomong nya aja  di jaga Kin kali makan jembut pacar lu ya njing,Lian Pratama
0.0,hatersnya mulutnya pedis  yg sabar yaa dan terus semangat beryoutube  jembut pacar lu ya njing,Fernando Sibit
